PYTHON LIST METHODS
  INPUT         METHOD        OUTPUT
[4, 3, 5]     .sort()        [3, 4, 5]
[1, 2, 3]     .clear()       []
[1, 2, 3]     .append(4)     [1, 2, 3, 4]
[1, 1, 2]     .count(1)       2
[1, 2, 3]     .extend([4])   [1, 2, 3, 4]
[1, 2, 3]     .insert(3, 4)  [1, 2, 3, 4]
[1, 2, 3]     .index(2)       1
[1, 2, 3]     .remove(2)     [1, 3]
[1, 2, 3]     .pop(2)        [1, 2]
[1, 2, 3]     .reverse()     [3, 2, 1]
[1, 2, 3]     .сору()        [1, 2, 3]
[1, 2, 3]     .len()          3
[1, 2, 3]     .min()          3
[1, 2, 3]     .max()          3
